Entity,Code,Day,Top-5 accuracy - state of the art,Top-1 accuracy - state of the art
State of the Art,,2012-12-01,84.6,63.3
State of the Art,,2014-09-04,91.9,74.4
State of the Art,,2015-02-11,92.2,
State of the Art,,2015-12-10,94.29,78.57
State of the Art,,2016-02-23,95.1,80.1
State of the Art,,2016-03-16,95.2,
State of the Art,,2016-11-16,95.6,
State of the Art,,2017-07-21,96.2,82.7
State of the Art,,2018-02-05,96.6,83.9
State of the Art,,2018-05-02,97.6,85.4
State of the Art,,2019-06-14,98,86.4
State of the Art,,2019-11-11,98.1,86.9
State of the Art,,2019-12-24,98.46,87.54
State of the Art,,2020-01-07,98.7,88.4
State of the Art,,2020-03-23,98.8,90.2
State of the Art,,2021-11-22,99.02,
State of the Art,,2016-08-22,,81.24
State of the Art,,2017-12-02,,82.9
State of the Art,,2020-03-18,,88.5
State of the Art,,2021-06-08,,90.45
State of the Art,,2021-06-09,,90.88
State of the Art,,2022-03-10,,90.98
State of the Art,,2022-05-04,,91
State of the Art,,2023-02-13,,91.1
